Winter.treatment,Origin,Population,MotherID,Spiderling,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,Opened.by,Actual.opening.date,Actual.opening.time,Video.watched.by,CCR.time.hours.minutes.seconds,CCR.time.seconds,Photo.by,Measured.by,Leg.length,Which.leg.,Notes,round,Notes,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_i,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_j,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_k,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_l,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_m,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_n,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_o,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_p,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_q,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_r,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_i,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,M. Sheffer,0.004722222,408,J. Balk,A.Machnis,2814.27,right,so long??,post,NA,5784.04,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_j,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,M. Sheffer,0.004837963,418,J. Balk,A.Machnis,843.42,right,NA,post,NA,5784.04,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_k,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,M. Sheffer,0.012083333,1044,J. Balk,A.Machnis,851.88,right,NA,post,NA,5784.04,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_l,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,M. Sheffer,0.009965278,861,J. Balk,A.Machnis,799.71,right,NA,post,NA,5784.04,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_m,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,M. Sheffer,0.006296296,544,J. Balk,A.Machnis,843.33,right,NA,post,NA,5784.04,M. Sheffer,NA
