Winter.treatment,Origin,Population,MotherID,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,LT50.Temp,Opened.by,Actual.opening.date,Actual.opening.time,test_live,test_dead,test_total,test_ratio,control_live,control_dead,control_total,control_ratio,Notes,round,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes
France,Estonia,Ikla,E18-Ikla-2,n,1,08-08-18,08-04-19,0.375,-10,L. Zander,08-04-19,0.375,10,0,10,1,6,0,6,1,only 6 in control,post,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-3,n,1,18-08-18,18-04-19,0.375,-26,J. Balk,18-04-19,0.375,3,7,10,0.3,10,0,10,1,NA,post,5784.04,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-3,n,2,03-09-18,03-05-19,0.625,-10,T. Moeller,03-05-19,0.625,10,0,10,1,10,0,10,1,NA,post,5784.04,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-7,n,1,05-08-18,05-04-19,0.625,-18,L. Zander,05-04-19,0.625,7,3,10,0.7,8,2,10,0.8,NA,post,7994.45,M. Sheffer,NA
France,Estonia,Ikla,E18-Ikla-7,n,2,20-08-18,20-04-19,0.625,-18,T. Moeller,20-04-19,0.625,8,2,10,0.8,10,0,10,1,NA,post,7994.45,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-10,n,1,13-08-18,13-04-19,0.625,-18,L. Zander,13-04-19,0.625,9,1,10,0.9,9,1,10,0.9,NA,post,6599.96,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-10,n,2,28-08-18,28-04-19,0.375,-18,J. Balk,28-04-19,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6599.96,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-101,n,1,08-08-18,11-04-19,0.375,-10,T. Moeller,11-04-19,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,only 5 legs
Estonia,Estonia,Paernu,E18-Paernu-101,n,2,23-08-18,25-04-19,0.375,-10,L. Zander,25-04-19,0.40625,10,0,10,1,10,0,10,1,NA,post,NA,NA,only 5 legs
Estonia,Estonia,Paernu,E18-Paernu-102,n,1,29-08-18,28-04-19,0.375,-18,M. Sheffer,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6622.37,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-107,n,1,22-08-18,22-04-19,0.625,-26,M. Sheffer,22-04-19,0.628472222,4,6,10,0.4,10,0,10,1,NA,post,6360.32,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-109,n,1,04-08-18,04-04-19,0.625,-10,T. Moeller,04-04-19,0.625,10,0,10,1,10,0,10,1,NA,post,6491.99,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-111,n,1,11-08-18,10-04-19,0.375,-32,J. Balk,10-04-19,0.399305556,0,10,10,0,10,0,10,1,NA,post,7386.62,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-111,n,2,01-09-18,01-05-19,0.375,-32,J. Balk,01-05-19,0.378472222,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,7386.62,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-112,n,1,05-08-18,05-04-19,0.625,-32,M. Sheffer,05-04-19,0.625,0,10,10,0,10,0,10,1,not in freezer overnight,post,6149.6,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-112,n,2,19-08-18,19-04-19,0.625,-32,T. Moeller,19-04-19,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6149.6,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-114,n,1,04-08-18,04-04-19,0.375,-32,J. Balk,04-04-19,0.375,1,9,10,0.1,10,0,10,1,NA,post,7106.27,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-115,n,1,04-08-18,04-04-19,0.625,-10,M. Sheffer,04-04-19,0.625,10,0,10,1,10,0,10,1,NA,post,6157.01,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-119,n,1,05-08-18,05-04-19,0.375,-32,M. Sheffer,05-04-19,0.375,8,2,10,0.8,10,0,10,1,NA,post,6294.05,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-120,n,1,05-08-18,05-04-19,0.625,-18,J. Balk,05-04-19,0.625,10,0,10,1,10,0,10,1,NA,post,5979.43,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-120,n,2,16-08-18,16-04-19,0.625,-18,M. Sheffer,16-04-19,0.625,7,3,10,0.7,10,0,10,1,NA,post,5979.43,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-123,n,1,08-08-18,08-04-19,0.625,-10,J. Balk,08-04-19,0.625,10,0,10,1,10,0,10,1,NA,post,6889.84,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-123,n,2,23-08-18,23-04-19,0.625,-10,M. Sheffer,23-04-19,0.641666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6889.84,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-124,n,1,13-08-18,13-04-19,0.375,-18,T. Moeller,13-04-19,0.378472222,8,2,10,0.8,10,0,10,1,NA,post,6083.9,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-124,n,2,01-09-18,01-05-19,0.375,-10,L. Zander,01-05-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6083.9,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-125,n,1,13-08-18,13-04-19,0.375,-18,J. Balk,13-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,7285.4,M. Sheffer,left
France,Estonia,Paernu,E18-Paernu-125,n,2,30-08-18,30-04-19,0.375,-26,T. Moeller,30-04-19,0.375,8,2,10,0.8,10,0,10,1,NA,post,7285.4,M. Sheffer,left
France,Estonia,Paernu,E18-Paernu-126,n,1,25-08-18,25-04-19,0.375,-10,M. Sheffer,25-04-19,0.378472222,10,0,10,1,10,0,10,1,NA,post,6499.64,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-127,n,1,11-08-18,11-04-19,0.625,-26,T. Moeller,11-04-19,0.604166667,4,6,10,0.4,10,0,10,1,NA,post,6442.33,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-127,n,2,25-08-18,25-04-19,0.375,-18,L. Zander,25-04-19,0.388888889,6,4,10,0.6,10,0,10,1,NA,post,6442.33,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-128,n,1,08-08-18,08-04-19,0.375,-32,M. Sheffer,08-04-19,0.3875,5,5,10,0.5,10,0,10,1,NA,post,6602.98,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-129,n,1,11-08-18,11-04-19,0.625,-26,J. Balk,11-04-19,0.604166667,2,8,10,0.2,10,0,10,1,NA,post,5932.98,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-129,n,2,26-08-18,26-04-19,0.625,-10,T. Moeller,26-04-19,0.625,10,0,10,1,10,0,10,1,NA,post,5932.98,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-131,n,1,19-08-18,19-04-19,0.375,-10,T. Moeller,19-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,5704.5,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-131,n,2,03-09-18,03-05-19,0.625,-10,M. Sheffer,03-05-19,0.625,10,0,10,1,10,0,10,1,NA,post,5704.5,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-133,n,1,16-08-18,16-04-19,0.625,-32,L. Zander,16-04-19,0.625,0,10,10,0,10,0,10,1,NA,post,6601.86,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-134,n,1,29-08-18,28-04-19,0.625,-18,M. Sheffer,28-04-19,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6361.02,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-135,n,1,08-08-18,13-04-19,0.625,-18,T. Moeller,13-04-19,0.625,8,2,10,0.8,10,0,10,1,NA,post,6649.14,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-135,n,2,25-08-18,25-04-19,0.375,-10,L. Zander,25-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,6649.14,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-136,n,1,20-08-18,20-04-19,0.375,-18,L. Zander,20-04-19,0.395833333,9,1,10,0.9,10,0,10,1,NA,post,5748.84,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-136,n,2,03-09-18,03-05-19,0.625,-10,J. Balk,03-05-19,0.625,10,0,10,1,10,0,10,1,NA,post,5748.84,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-139,n,1,18-08-18,18-04-19,0.375,-26,L. Zander,18-04-19,0.375,0,10,10,0,10,0,10,1,NA,post,6098.37,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-14,n,1,19-08-18,19-04-19,0.375,-18,M. Sheffer,19-04-19,0.375,7,3,10,0.7,10,0,10,1,NA,post,4664.36,M. Sheffer,left
Estonia,Estonia,Paernu,E18-Paernu-14,n,2,22-08-18,22-04-19,0.375,-26,T. Moeller,22-04-19,0.378472222,6,4,10,0.6,9,1,10,0.9,NA,post,4664.36,M. Sheffer,left
Estonia,Estonia,Paernu,E18-Paernu-144,n,1,16-08-18,16-04-19,0.375,-18,M. Sheffer,16-04-19,0.381944444,9,1,10,0.9,10,0,10,1,NA,post,6825.63,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-149,n,1,20-08-18,20-04-19,0.625,-18,M. Sheffer,20-04-19,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,4438.41,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-158,n,1,04-08-18,04-04-19,0.375,-32,M. Sheffer,04-04-19,0.375,3,7,10,0.3,10,0,10,1,NA,post,6484.03,M. Sheffer,NA
