Winter.treatment,Origin,Population,MotherID,Spiderling,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,Opened.by,Actual.opening.date,Actual.opening.time,SCP,Block_ID,Datalogger_ID,Photo.by,Measured.by,Leg.length,Which.leg.,Notes,round,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes,Exclude
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_a,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_b,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_c,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_d,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_e,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_f,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_g,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_h,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,loose legs in vial,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_a,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-26.15,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_b,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-27.42,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_c,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-28.41,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_d,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-28.25,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_e,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-19.56,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_f,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-28.95,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_g,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-27.76,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_h,n,1,18-08-18,18-04-19,0.375,J. Balk,18-04-19,0.375,-27.92,D,B,NA,NA,NA,NA,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_a,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,536.71,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_b,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,536.42,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_c,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,501.61,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_d,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,505.16,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_e,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,550,left,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_f,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,500.04,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_g,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,484.12,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-3,E18-Ikla-3_h,n,2,03-09-18,03-05-19,0.625,T. Moeller,03-05-19,0.625,NA,NA,NA,A.Machnis,A.Machnis,518.64,right,NA,post,5784.04,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_a,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-29.93,A,B,A.Machnis,A.Machnis,508.53,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_b,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-29.95,A,B,A.Machnis,A.Machnis,523.82,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_c,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-27.82,A,B,A.Machnis,A.Machnis,528.09,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_d,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-28.91,A,B,A.Machnis,A.Machnis,516.34,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_e,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-29.39,A,B,A.Machnis,A.Machnis,563.56,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_f,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-24.6,A,B,A.Machnis,A.Machnis,571.8,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_g,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-29.5,A,B,A.Machnis,A.Machnis,531.54,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_h,n,1,05-08-18,05-04-19,0.625,L. Zander,05-04-19,0.625,-28.42,A,B,A.Machnis,A.Machnis,542.74,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_a,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-27.02,A,C,A.Machnis,A.Machnis,464.96,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_b,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-22.3,A,C,A.Machnis,A.Machnis,454.57,right,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_c,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-26.84,A,C,A.Machnis,A.Machnis,450.86,left,NA,post,7994.45,M. Sheffer,NA,
France,Estonia,Ikla,E18-Ikla-7,E18-Ikla-7_d,n,2,20-08-18,20-04-19,0.625,T. Moeller,20-04-19,0.625,-28.04,A,C,A.Machnis,A.Machnis,441.28,right,NA,post,7994.45,M. Sheffer,NA,
