Winter.treatment,Origin,Population,MotherID,Spiderling,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,Opened.by,Actual.opening.date,Actual.opening.time,Weighed.by,Mass..mg.,Mass..ug.,Photo.by,Factor,Measured.by,Leg.length,Leg.length_corrected,Which.leg.,round,Notes,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_1,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_2,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_3,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_4,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_5,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_6,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_7,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_8,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_9,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_10,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
France,Estonia,Ikla,E18-Ikla-2,E18-Ikla-2_11,n,1,08-08-18,08-04-19,0.375,L. Zander,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,NA,NA,NA,loose legs in vial
