Name,Glyoxylat,Pyruvat,Laktat,Alanin,3-Hydroxybutyrat,Valin,Harnstoff,Leucin,Isoleucin,Prolin,Glycin,Succinat,Itaconat,Fumarat,Serin,Threonin,beta-Alanin,Malat,Methionin,Aspartat,4-Hydroxyprolin,Cystein,2-Oxogluterat,Phenylpyruvat,Phosphoenolpyruvat,Glutamat,Asparagin,Ribitol,Dihydroxyacetonphosphat,Aconitat,Dihydroxyacetonphosphat_2,Glutamin,2-Phosphoglycerat,4-Chlororphenylalaninhydroxid,3-Phosphoglycerat,Orniithine,Citrat,Isocitrat,Fructose,Glucose,Lysin,Glucuronat,Tyrosin,myo-Inositol,myo-Inositol_2,Tryptophan,Cystin,Fructose-6-phosphat,Glucose-6-phosphat
190716_JK_01_MeOH,1.045881878,0.688662312,0.942952102,0.822761798,1.311962286,1.416572943,1.14592298,0.971460341,0.791932316,0.816329853,0.818230582,1.216930856,1.494170854,1.679505874,0.709450856,0.732360307,1.090927223,0.897066043,0.841153376,0.494398637,0.790161654,0.417109721,1.23562291,0,1.467438619,1.021979717,0.680285062,0.188275807,1.484668453,0.624004627,1.02821837,1.593687072,2.589427783,0.099144644,0.668625624,0.36956763,0.608047726,0.111211031,0.54336045,1.031996228,0.577670181,0.559163904,0.900831138,0.917175041,0.914284738,0.52461337,0.228321718,1.101154673,0.926009959
190716_JK_02_MeOH,0.733807949,0.790431427,1.322189171,1.07887255,2.481335289,1.424967446,0.759081803,1.259950966,0.913636755,0.821509529,0.7650591,1.107507416,1.346122979,1.868813926,1.074247402,0.681118695,1.028511941,1.183533053,0.657746204,0.808294459,1.420621203,0.46040948,1.494673749,0,0.429297517,1.600263779,0.747082593,0.303429708,1.641298731,0.626088179,0.815450344,3.532498315,0.514407081,1.623381003,0.396093587,0.501583522,0.547907496,0.193760378,1.848583461,2.612804568,0.639804629,0.601769294,1.411067457,1.026076254,1.02390087,1.395519618,1.486923583,1.38498719,1.310837764
190716_JK_03_MeOH,0.704057868,0.972761659,0.914271702,0.488727898,1.013438326,0.662572993,0.194591266,0.498902064,0.4131716,0.313383803,0.733315476,1.052081072,0.873512189,1.22717823,0.46989361,0.385801857,0.664166653,0.969141213,0.741516712,0.618153352,1.149772099,0.851658972,1.91169535,0,1.53612923,1.231301388,0.936177154,0.898770068,3.126108274,1.599675727,1.063906468,2.171941851,1.457576256,0.496268008,0.725277518,0.550709255,1.06891754,0.982986069,0.871563885,1.726638832,0.731174397,0.336991161,1.093628312,0.901245262,0.896489704,0.779397276,1.459194386,1.455820209,1.453842903
190716_JK_04_MeOH,0.52025697,0.77502354,0.857657787,0.677309291,0.937979563,0.566921533,0.178699945,0.798420934,0.579461568,0.459301234,0.894927828,1.017432356,1.40504707,1.879369176,0.624144911,0.395051343,0.991632705,1.050190024,0.665066482,0.8608477,1.517065796,0.632392766,1.341637494,0.609723753,0.585902504,1.032784822,1.223375317,0.066780982,1.028743073,1.091746988,0.849020404,2.866940636,0.387700016,2.721408597,0.490821774,0.394621197,0.933280241,0.117963199,0.778513209,0.764242475,0.603494183,0.23744123,0.879961316,0.828378775,0.822493563,0.575988971,0.277351684,0.637575969,0.559060833
190716_JK_05_MeOH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190716_JK_06_MeOH,0.669846855,0.864586737,1.36188891,0.740772225,1.311719011,0.922037096,1.369634363,0.342545253,0.386533213,0.530731089,0.339400053,1.140133028,1.382742334,0.740763378,0.541459616,0.600408626,0.647303009,0.893144438,0.596447036,0.803179504,0.455385293,0.509159243,1.188673159,0.389699424,0.331977658,0.815684073,0.337406418,0.768152617,1.359598052,0.610665229,1.081030382,0.903102439,0.724992012,0.407235648,0.595380153,0.353191578,0.520303752,0.102785886,0.701154919,1.317132089,0.451844544,0.426580306,0.785791223,0.858303763,0.857577803,1.27786318,0.319827586,1.151275652,0.991873243
190716_JK_07_MeOH,0.476867902,0.603612212,1.068682963,0.747626717,1.364003848,0.527282175,0.121711907,0.590790145,0.326776127,0.244318742,0.333402315,1.171352954,2.030334619,3.316000031,0.579896327,0.178019242,0.37075749,0.72853881,0.388113791,0.146322329,0.55018442,0.127128673,1.0494741,0.105494325,0.113158728,0.466678471,0.261886785,0,0.658438305,0.281398348,0.257644078,2.842571812,0.366041313,0.933200648,0.445399408,0.140841079,0.258494494,0.140179247,0.374287842,0.963908321,0.203728286,0.317538938,0.740678036,0.298085964,0.295444436,0.675410374,0.311115189,0.305658798,0.252917765
190716_JK_08_MeOH,0.875651657,0.716009663,1.020311764,1.113520819,1.403833147,0.507823295,0.137545163,0.246942591,0.179013984,0.15117557,0.585601684,1.285891045,1.602254481,1.529109517,0.195998633,0.062552744,0.584505409,1.290623109,0.338188602,0.257008529,0.447153995,0.234628845,1.234038618,0.27148185,0.058058292,0.711590928,0.175667543,0.151177655,0.523551421,0.134404041,0.751143404,1.17980028,0.565991864,0.701722441,0.769930206,0.154286332,0.081220468,0.048930239,0.510796903,1.514499063,0.29660184,0.211723889,0.975674335,0.221045719,0.220274609,0.090596457,0.565124858,0.345836506,0.347554941
190716_JK_09_MeOH,0.880985755,1.189852109,1.675612121,0.954225169,1.992494687,0.439740088,0.131284585,0.133243293,0.187351539,0.086847155,0.547239565,1.326224318,1.521305733,2.336959829,0.449413195,0.168635813,0.930164826,1.616138267,0.867126509,0.504023679,1.563012956,0.715792091,1.314725622,0.439880358,1.306672966,1.000561223,0.878130598,5.808464937,1.701880392,0.627890008,0.816768197,2.619250589,1.259404927,4.035200665,1.563150646,0.37358742,0.45932055,0.26995691,1.207046186,2.364961296,0.518772646,0.827387195,1.545949376,0.407933266,0.406020579,0.305907236,1.318072455,1.236993694,1.3056023
190716_JK_12_MeOH,0.959388966,0.698884456,0.82302462,0.972953774,1.822565697,0.986975434,1.358871652,0.437816094,0.330707128,0.370120918,0.405627409,1.063352946,0.901580518,0.749373432,0.491992326,0.280650259,0.515446714,1.212371355,0.714689038,0.531062352,0.773093552,0.65137656,1.307573027,0.396638283,0.703864136,0.991818202,0.320469329,0.327434812,0.386153236,0.284764685,0.788966831,1.934845791,0,1.072717312,0.418445641,0.310801673,0.211167639,0.293740839,0.748314985,2.695708905,0.375259082,1.744669016,0.942063558,0.436528497,0.433636764,0.668593808,0.85529992,0.772154186,0.817805747
