ddradID,altID,population_number,population_name,Country,Treatment,GPS_N,GPS_E,1Ovi_Egg,1Ovi_Dead,1Ovi_Living,2Ovi_Egg,2Ovi_Dead,2Ovi_Living,Pigmentation,LegLength,1Ovi_LegLength,2Ovi_LegLength,1Ovi_mass,2Ovi_mass
E18-Ik-12-photo_trimmed.sorted,E18-Ikla-12-Photo,39,Ikla,Estonia,Estonia,57.872483,24.35843,0,3,319,NA,NA,NA,0.47,6954.95,,NA,0.2968667,NA
E18-Ik-14-photo_trimmed.sorted,E18-Ikla-14-Photo,39,Ikla,Estonia,Estonia,57.872483,24.35843,0,0,486,NA,NA,NA,0.52,5351.47,562.1373,NA,0.3538667,NA
E18-Ik-18-photo_trimmed.sorted,E18-Ikla-18-Photo,39,Ikla,Estonia,France,57.872483,24.35843,0,1,489,53,31,36,0.36,6201.2,584.8553,NA,0.3368667,NA
E18-Ik-19-photo_trimmed.sorted,E18-Ikla-19-Photo,39,Ikla,Estonia,France,57.872483,24.35843,0,14,139,NA,NA,NA,0.83,6665.53,576.9713,NA,0.2916,NA
E18-Ik-1-photo_trimmed.sorted,E18-Ikla-1-Photo,39,Ikla,Estonia,France,57.872483,24.35843,0,5,193,13,1,108,0.5,6940.97,585.7707,528.52,0.2836,0.28
E18-Ik-2-photo_trimmed.sorted,E18-Ikla-2-Photo,39,Ikla,Estonia,Estonia,57.872483,24.35843,7,0,253,19,2,125,0.64,6117.43,538.8847,604.5087,0.2829333,0.379
E18-Ik-4-photo_trimmed.sorted,E18-Ikla-4-Photo,39,Ikla,Estonia,France,57.872483,24.35843,8,0,477,0,2,164,0.29,6521.28,544.6393,543.2267,0.3116,0.3017333
E18-Ik-5-photo_trimmed.sorted,E18-Ikla-5-Photo,39,Ikla,Estonia,Estonia,57.872483,24.35843,0,3,280,0,12,178,0.48,7208.97,584.5273,538.762,0.3469333,0.3122667
E18-Ik-7-photo_trimmed.sorted,E18-Ikla-7-Photo,39,Ikla,Estonia,France,57.872483,24.35843,0,2,179,NA,NA,NA,0.84,6589.18,597.4473,NA,0.3248667,NA
E18-Ik-8-photo_trimmed.sorted,E18-Ikla-8-Photo,39,Ikla,Estonia,Estonia,57.872483,24.35843,4,8,453,7,3,194,0.14,5659.54,527.1327,557.726,0.2994667,0.357
