"","rep(compounds, each = 4)","coef","SE","Sum Sq","F value","Pr(>F)","sig","var"
"Winter.treatment","Glyoxylate",0.156951040942168,0.207914483403504,0.724566925689609,5.20296536358577,0.0336445670908723,"*","Winter.treatment"
"Origin","Glyoxylate",0.0872891821428571,0.199470999301471,0.541768547750502,3.89032798639439,0.0625514429506784,"","Origin"
"Extracted.by","Glyoxylate",-0.357735778523691,0.155915976578875,0.876318534285572,6.29266230585479,0.0208506239718962,"*","Extracted.by"
"Winter.treatment.Origin","Glyoxylate",0.366852944366702,0.305022457520278,0.201441041268923,1.44650649010695,0.243134956883542,"","Winter.treatment:Origin"
"Winter.treatment.1","pyruvate",0.241364346047382,0.270292596364578,0.121506828721156,0.516266924280427,0.480749164398489,"","Winter.treatment"
"Origin.1","pyruvate",0.100537484,0.259315914014497,0.0735631403358239,0.312560344149387,0.582320100560194,"","Origin"
"Extracted.by.1","pyruvate",-1.46730364966334,0.20269359514717,12.0680034434018,51.2753981443172,6.18022568610459e-07,"***","Extracted.by"
"Winter.treatment.Origin.1","pyruvate",-0.421580984399003,0.396534722560222,0.266027153016696,1.13031523831627,0.300377164450287,"","Winter.treatment:Origin"
"Winter.treatment.2","Lactate",0.319529547488778,0.53135134120609,0.1038929987245,0.114225912298941,0.738905179861855,"","Winter.treatment"
"Origin.2","Lactate",0.481202211,0.509772966632922,1.93698232868674,2.12962929473123,0.160004492021852,"","Origin"
"Extracted.by.2","Lactate",-3.46082256484289,0.398462684823457,67.543403808778,74.261086065023,3.62729413176126e-08,"***","Extracted.by"
"Winter.treatment.Origin.2","Lactate",-0.863537990852867,0.779522855975535,1.11616098345587,1.22717130290767,0.281103128340124,"","Winter.treatment:Origin"
"Winter.treatment.3","Alanine",-0.50723636806472,0.461118016312209,0.790913951783852,1.15464098952176,0.295373159056538,"","Winter.treatment"
"Origin.3","Alanine",-0.451175258285714,0.44239184305021,1.34186315083121,1.95896177173767,0.176944583655058,"","Origin"
"Extracted.by.3","Alanine",-1.4699656837606,0.345794408617038,15.0039246311048,21.9039585073641,0.000143892577043074,"***","Extracted.by"
"Winter.treatment.Origin.3","Alanine",1.64911721789087,0.676486545044872,4.07068026406965,5.94271257642018,0.0242373367112052,"*","Winter.treatment:Origin"
"Winter.treatment.4","B-Hydroxybutyrate",-0.196648623212564,0.350033370668491,0.045950254022423,0.11641553338624,0.736513593325495,"","Winter.treatment"
"Origin.4","B-Hydroxybutyrate",-0.357986565571429,0.335818385968822,0.403761702069344,1.02293523523073,0.323904183976102,"","Origin"
"Extracted.by.4","B-Hydroxybutyrate",-0.185650697690773,0.262491549071435,0.234153243465457,0.593230120530941,0.450175534779047,"","Extracted.by"
"Winter.treatment.Origin.4","B-Hydroxybutyrate",0.18029686279753,0.513519006409008,0.0486564343235567,0.123271674443525,0.729184318722771,"","Winter.treatment:Origin"
"Winter.treatment.5","Valine",-0.529972462423585,0.229433672709117,1.99384303659009,11.757596917605,0.00265784381478777,"**","Winter.treatment"
"Origin.5","Valine",0.389496677142857,0.220116286367008,0.955965130795156,5.63728060278887,0.0277054907808304,"*","Origin"
"Extracted.by.5","Valine",-0.331044270069825,0.172053310355949,0.614602063951623,3.62427894275456,0.0714320962961156,"","Extracted.by"
"Winter.treatment.Origin.5","Valine",-0.0940382667638048,0.336592340956939,0.0132365002278413,0.0780550080536455,0.782819476532547,"","Winter.treatment:Origin"
"Winter.treatment.6","Urea1",-0.112352188029925,0.20659976218191,0.0749513039486959,0.545081539882273,0.468909960229533,"","Winter.treatment"
"Origin.6","Urea1",0.215293982,0.19820966939515,0.286282206965528,2.0819804058443,0.16452671733353,"","Origin"
"Extracted.by.6","Urea1",0.178473106418953,0.154930061409146,0.17850233143662,1.29815387546359,0.268013591075366,"","Extracted.by"
"Winter.treatment.Origin.6","Urea1",0.0515271117256857,0.303093686174482,0.00397407023596615,0.0289013293925279,0.866714966400732,"","Winter.treatment:Origin"
"Winter.treatment.7","Leucine",-0.879348258308396,0.250612195190839,3.62093207384665,17.8960791737606,0.000410506941551102,"***","Winter.treatment"
"Origin.7","Leucine",0.0122640350000002,0.240434741214423,0.114127192058496,0.564061745236794,0.461374567026705,"","Origin"
"Extracted.by.7","Leucine",-0.203852867349127,0.187935176598172,0.286771094007659,1.41733622681715,0.247781743018795,"","Extracted.by"
"Winter.treatment.Origin.7","Leucine",0.219952601228595,0.367662446647875,0.0724139344285859,0.357898319379622,0.556390769348099,"","Winter.treatment:Origin"
"Winter.treatment.8","Isoleucine",-0.757602011340696,0.21847135722748,2.20762365307488,14.3574707795614,0.00115136856691308,"**","Winter.treatment"
"Origin.8","Isoleucine",-0.0564212202857143,0.209599154573277,0.0683564874041096,0.444562309853396,0.512547908152838,"","Origin"
"Extracted.by.8","Isoleucine",-0.152731593563591,0.163832622235016,0.185855024380455,1.20872417636057,0.284643385584072,"","Extracted.by"
"Winter.treatment.Origin.8","Isoleucine",0.322236001583304,0.320509996169865,0.15542184480497,1.01079936889822,0.326721122673947,"","Winter.treatment:Origin"
"Winter.treatment.9","Proline",-0.355683420325971,0.156705933439981,0.916431969526012,11.5843391988411,0.00281801246155948,"**","Winter.treatment"
"Origin.9","Proline",0.327633090285714,0.150342047499785,0.670397594042074,8.47429311254504,0.0086379260033086,"**","Origin"
"Extracted.by.9","Proline",-0.218769806436409,0.117514461946267,0.267936635665896,3.38690592925888,0.0806041509849691,"","Extracted.by"
"Winter.treatment.Origin.9","Proline",-0.0645457699166369,0.229896581245415,0.00623590529033075,0.0788261916838211,0.781778304391419,"","Winter.treatment:Origin"
"Winter.treatment.10","Glycine",-1.4277630766042,0.432018128237098,2.74099701061827,4.55875797293989,0.0453083637525446,"*","Winter.treatment"
"Origin.10","Glycine",-0.682060845285714,0.414473712197159,0.00991785599933998,0.0164951311279476,0.899088741522013,"","Origin"
"Extracted.by.10","Glycine",-0.274600787541147,0.323972275818518,0.926306401779664,1.54060974095911,0.228888625357685,"","Extracted.by"
"Winter.treatment.Origin.10","Glycine",1.56611529222337,0.633795342253533,3.67122836313202,6.10589559422249,0.0225866394077316,"*","Winter.treatment:Origin"
"Winter.treatment.11","Succinate",0.807823808473935,0.261509062373133,2.43642551453118,11.059145390027,0.0033727284954481,"**","Winter.treatment"
"Origin.11","Succinate",0.195452945714286,0.250889082588464,0.125907142794109,0.571503372255099,0.458474483351585,"","Origin"
"Extracted.by.11","Succinate",-1.60656798530175,0.196106784754398,14.2631590130623,64.7417080086203,1.06626974440256e-07,"***","Extracted.by"
"Winter.treatment.Origin.11","Succinate",-0.603582082171476,0.383648775030612,0.545301405837772,2.4751700770571,0.131343650274792,"","Winter.treatment:Origin"
"Winter.treatment.12","Itaconate",0.272432374912006,0.234619411584211,0.144880686456245,0.817004650116188,0.376816466843536,"","Winter.treatment"
