"","ddradID","altID","population_number","population_name","Country","Treatment","X1Ovi_Egg","X1Ovi_Dead","X1Ovi_Living","X2Ovi_Egg","X2Ovi_Dead","X2Ovi_Living","Pigmentation","LegLength","X1Ovi_LegLength","X2Ovi_LegLength","X1Ovi_mass","X2Ovi_mass","dat_filtered$population_number","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"1","E18-Ik-12-photo_trimmed.sorted","E18-Ikla-12-Photo",39,"Ikla","Estonia","Estonia",0,3,319,NA,NA,NA,0.47,6954.95,NA,NA,0.2968667,NA,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.1","E18-Ik-14-photo_trimmed.sorted","E18-Ikla-14-Photo",39,"Ikla","Estonia","Estonia",0,0,486,NA,NA,NA,0.52,5351.47,562.1373,NA,0.3538667,NA,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.2","E18-Ik-18-photo_trimmed.sorted","E18-Ikla-18-Photo",39,"Ikla","Estonia","France",0,1,489,53,31,36,0.36,6201.2,584.8553,NA,0.3368667,NA,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.3","E18-Ik-19-photo_trimmed.sorted","E18-Ikla-19-Photo",39,"Ikla","Estonia","France",0,14,139,NA,NA,NA,0.83,6665.53,576.9713,NA,0.2916,NA,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.4","E18-Ik-1-photo_trimmed.sorted","E18-Ikla-1-Photo",39,"Ikla","Estonia","France",0,5,193,13,1,108,0.5,6940.97,585.7707,528.52,0.2836,0.28,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.5","E18-Ik-2-photo_trimmed.sorted","E18-Ikla-2-Photo",39,"Ikla","Estonia","Estonia",7,0,253,19,2,125,0.64,6117.43,538.8847,604.5087,0.2829333,0.379,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.6","E18-Ik-4-photo_trimmed.sorted","E18-Ikla-4-Photo",39,"Ikla","Estonia","France",8,0,477,0,2,164,0.29,6521.28,544.6393,543.2267,0.3116,0.3017333,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.7","E18-Ik-5-photo_trimmed.sorted","E18-Ikla-5-Photo",39,"Ikla","Estonia","Estonia",0,3,280,0,12,178,0.48,7208.97,584.5273,538.762,0.3469333,0.3122667,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.8","E18-Ik-7-photo_trimmed.sorted","E18-Ikla-7-Photo",39,"Ikla","Estonia","France",0,2,179,NA,NA,NA,0.84,6589.18,597.4473,NA,0.3248667,NA,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"1.9","E18-Ik-8-photo_trimmed.sorted","E18-Ikla-8-Photo",39,"Ikla","Estonia","Estonia",4,8,453,7,3,194,0.14,5659.54,527.1327,557.726,0.2994667,0.357,39,-5.21535121528933,-0.574859591882229,-1.72215284057436,-0.26851082704828,-0.703577857285508,-0.744641946669647,-0.00111138882190197,0.0326138927800276,0.212874402187545,0.0264216726366949,0.0900453994839537,-0.0477614200754916,-0.0373742640938064,0.0498001044022745,-0.00447178071990011,-0.0107481355044441,0.0116241848438359,0.00168092195019006,-5.67689686221339e-08
"2","E18-Pa-12-photo_trimmed.sorted","E18-Paernu-12-Photo",41,"Paernu","Estonia","France",0,4,151,85,8,0,0.33,5305.15,560.362,NA,0.2878,NA,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.1","E18-Pa-13-photo_trimmed.sorted","E18-Paernu-13-Photo",41,"Paernu","Estonia","Estonia",0,7,202,0,42,91,0.46,6818.84,477.17,488.4364,0.3055333,0.319,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.2","E18-Pa-14-photo_trimmed.sorted","E18-Paernu-14-Photo",41,"Paernu","Estonia","France",0,3,121,60,0,0,0.12,6400.92,614.8653,NA,0.3579333,NA,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.3","E18-Pa-15-photo_trimmed.sorted","E18-Paernu-15-Photo",41,"Paernu","Estonia","France",0,0,224,0,7,148,0.34,6096.14,531.4207,534.0433,0.2824,0.2602,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
