ddradID,altID,population_number,population_name,Country,Treatment,X1Ovi_Egg,X1Ovi_Dead,X1Ovi_Living,X2Ovi_Egg,X2Ovi_Dead,X2Ovi_Living,Pigmentation,LegLength,X1Ovi_LegLength,X2Ovi_LegLength,X1Ovi_mass,X2Ovi_mass,annMeanTemp,meanDiurnRange,isothermality,tempSeasonality,maxTempWarmestMonth,minTempColdestMonth,tempAnnRange,meanTempWettestQuarter,meanTempDriestQuarter,meanTempWarmestQuarter,meanTempColdestQuarter,annPrecip,precipWettestMonth,precipDriestMonth,precipSeasonality,precipWettestQuarter,precipDriestQuarter,precipWarmestQuarter,precipColdestQuarter
E18-Ik-12-photo_trimmed.sorted,E18-Ikla-12-Photo,39,Ikla,Estonia,Estonia,0,3,319,,,,0.47,6954.95,,,0.2968667,,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-14-photo_trimmed.sorted,E18-Ikla-14-Photo,39,Ikla,Estonia,Estonia,0,0,486,,,,0.52,5351.47,562.1373,,0.3538667,,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-18-photo_trimmed.sorted,E18-Ikla-18-Photo,39,Ikla,Estonia,France,0,1,489,53,31,36,0.36,6201.2,584.8553,,0.3368667,,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-19-photo_trimmed.sorted,E18-Ikla-19-Photo,39,Ikla,Estonia,France,0,14,139,,,,0.83,6665.53,576.9713,,0.2916,,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-1-photo_trimmed.sorted,E18-Ikla-1-Photo,39,Ikla,Estonia,France,0,5,193,13,1,108,0.5,6940.97,585.7707,528.52,0.2836,0.28,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-2-photo_trimmed.sorted,E18-Ikla-2-Photo,39,Ikla,Estonia,Estonia,7,0,253,19,2,125,0.64,6117.43,538.8847,604.5087,0.2829333,0.379,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-4-photo_trimmed.sorted,E18-Ikla-4-Photo,39,Ikla,Estonia,France,8,0,477,0,2,164,0.29,6521.28,544.6393,543.2267,0.3116,0.3017333,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-5-photo_trimmed.sorted,E18-Ikla-5-Photo,39,Ikla,Estonia,Estonia,0,3,280,0,12,178,0.48,7208.97,584.5273,538.762,0.3469333,0.3122667,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-7-photo_trimmed.sorted,E18-Ikla-7-Photo,39,Ikla,Estonia,France,0,2,179,,,,0.84,6589.18,597.4473,,0.3248667,,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Ik-8-photo_trimmed.sorted,E18-Ikla-8-Photo,39,Ikla,Estonia,Estonia,4,8,453,7,3,194,0.14,5659.54,527.1327,557.726,0.2994667,0.357,5.73750019073486,6.99166679382324,23.8623428344727,813.846435546875,21.1000003814697,-8.19999980926514,29.2999992370605,14.9833335876465,-0.683333277702332,15.8000001907349,-4.08333349227905,625,75,25,33.2504272460938,213,91,192,117
E18-Pa-12-photo_trimmed.sorted,E18-Paernu-12-Photo,41,Paernu,Estonia,France,0,4,151,85,8,0,0.33,5305.15,560.362,,0.2878,,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-13-photo_trimmed.sorted,E18-Paernu-13-Photo,41,Paernu,Estonia,Estonia,0,7,202,0,42,91,0.46,6818.84,477.17,488.4364,0.3055333,0.319,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-14-photo_trimmed.sorted,E18-Paernu-14-Photo,41,Paernu,Estonia,France,0,3,121,60,0,0,0.12,6400.92,614.8653,,0.3579333,,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-15-photo_trimmed.sorted,E18-Paernu-15-Photo,41,Paernu,Estonia,France,0,0,224,0,7,148,0.34,6096.14,531.4207,534.0433,0.2824,0.2602,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-16-photo_trimmed.sorted,E18-Paernu-16-Photo,41,Paernu,Estonia,France,334,0,0,0,5,100,0.08,5817.01,,615.7627,,0.377,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-1-photo_trimmed.sorted,E18-Paernu-1-Photo,41,Paernu,Estonia,France,318,0,0,4,0,144,0.46,6686.52,,483.87,,0.26,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-3-photo_trimmed.sorted,E18-Paernu-3-Photo,41,Paernu,Estonia,Estonia,0,1,243,11,0,161,0.27,7164.59,567.596,574.6707,0.3579333,0.36,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-4-photo_trimmed.sorted,E18-Paernu-4-Photo,41,Paernu,Estonia,France,0,2,449,100,23,0,0.22,6656.66,536.4164,,0.2522143,,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-5-photo_trimmed.sorted,E18-Paernu-5-Photo,41,Paernu,Estonia,France,20,43,100,74,40,295,0.59,6095.39,539.8867,558.17,0.2543333,0.2923333,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-Pa-6-photo_trimmed.sorted,E18-Paernu-6-Photo,41,Paernu,Estonia,Estonia,0,39,421,80,13,62,0.56,6673.98,544.4627,547.696,0.2644667,0.34,5.72916650772095,6.59166669845581,22.4971561431885,825.065979003906,21.2000007629395,-8.10000038146973,29.3000011444092,6.36666679382324,-0.816666722297668,16.1166667938232,-4.01666688919067,679,79,31,30.9900131225586,223,104,203,141
E18-PJ-10_trimmed.sorted,E18-Pulgoja-10,40,Pulgoja,Estonia,France,1,5,338,27,20,53,0.45,6027.43,549.2393,,0.2544667,,5.66666650772095,6.96666622161865,23.3780765533447,832.41796875,21.3999996185303,-8.39999961853027,29.7999992370605,6.58333301544189,-0.916666507720947,16.0666656494141,-4.26666641235352,647,74,27,32.5226554870605,216,95,196,127
